date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:24	113/113	---MCZ	200	added ('OK')	text/plain	etag:%221166-1723193643;gz%22	https://officeprodeals.com/robots.txt		(from )
19:46:25	118102/118102	---M-Z	200	added ('OK')	text/html	etag:%221163-1723185444;gz%22	https://officeprodeals.com/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/index.html	(from )
19:46:26	23716/23716	---M-Z	200	added ('OK')	text/css	date:Fri,%2009%20Aug%202024%2005:45:45%20GMT	https://officeprodeals.com/wp-content/uploads/blocksy/css/global.css?ver=82345	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/uploads/blocksy/css/globalb6ea.css	(from https://officeprodeals.com/)
19:46:26	33935/33935	---MCZ	200	added ('OK')	application/rss+xml	etag:%228e3bae05eb4dfc041b7aea3740ea2be0%22	https://officeprodeals.com/feed/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/feed/index.html	(from https://officeprodeals.com/)
19:46:27	1757/1757	---MCZ	200	added ('OK')	application/rss+xml	etag:%22fedfec5f30d9a9db74a7ab43c8ebb379%22	https://officeprodeals.com/comments/feed/	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/comments/feed/index.html	(from https://officeprodeals.com/)
19:46:27	67192/67192	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202024%2010:06:39%20GMT	https://officeprodeals.com/wp-content/plugins/testimonial-slider-and-showcase/assets/css/wptestimonial.css?ver=2.3.10	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/testimonial-slider-and-showcase/assets/css/wptestimonial42d8.css	(from https://officeprodeals.com/)
19:46:28	1614/1614	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202024%2009:05:30%20GMT	https://officeprodeals.com/wp-content/themes/blocksy/style.css?ver=6.6.1	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/themes/blocksy/styleb6a4.css	(from https://officeprodeals.com/)
19:46:28	67118/67118	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202024%2009:05:30%20GMT	https://officeprodeals.com/wp-content/themes/blocksy/static/bundle/woocommerce.min.css?ver=2.0.41	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/themes/blocksy/static/bundle/woocommerce.minfa0d.css	(from https://officeprodeals.com/)
19:46:29	212120/212120	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202024%2007:36:45%20GMT	https://officeprodeals.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.23.3	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/elementor/assets/css/frontend-lite.min28fc.css	(from https://officeprodeals.com/)
19:46:29	16481/16481	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202024%2010:06:39%20GMT	https://officeprodeals.com/wp-content/plugins/testimonial-slider-and-showcase/assets/vendor/swiper/swiper.min.css?ver=2.3.10	C:/My%20Web%20Sites/Microsoft%20Ecom%20Buy%20Office%20small%20website/officeprodeals.com/wp-content/plugins/testimonial-slider-and-showcase/assets/vendor/swiper/swiper.min42d8.css	(from https://officeprodeals.com/)
